path,scope,stage,verdict,relationship,transform_id,ancestor_path,ancestor_sha256,sha256_pre_s0,sha256_post_s02,sha256_post_s03,sha256_post_s04,sha256_post_s05,sha256_post_s06,sha256_post_s07,sha256_post_s08,size_bytes,is_python,parses,n_syntax_warnings,n_crlf,n_lf,n_nonascii,has_cookie,rationale
.gitignore,colab,-,retain,origin,,.gitignore,36e51240be0007b54e2165551ab9752adb9770f9737ae6d1295242bec241a4b3,36e51240be0007b54e2165551ab9752adb9770f9737ae6d1295242bec241a4b3,-,36e51240be0007b54e2165551ab9752adb9770f9737ae6d1295242bec241a4b3,36e51240be0007b54e2165551ab9752adb9770f9737ae6d1295242bec241a4b3,36e51240be0007b54e2165551ab9752adb9770f9737ae6d1295242bec241a4b3,36e51240be0007b54e2165551ab9752adb9770f9737ae6d1295242bec241a4b3,36e51240be0007b54e2165551ab9752adb9770f9737ae6d1295242bec241a4b3,36e51240be0007b54e2165551ab9752adb9770f9737ae6d1295242bec241a4b3,40,False,False,0,0,4,0,False,"colab scope; stays in the repository, outside the installed package"
Align Morphologies/Alignment.py,colab,-,retain,origin,,Align Morphologies/Alignment.py,d9905c18fb654be391a4059597b873b22016d875f6d4efd19eb31f0d418515a2,153229364d93a182987bfbbc445b7d82bd9779972a9f06e60fa704ce5a2ecf8c,6aa5cda8111d7cae43990ec0f95a1cbdc66706f9d1196e3c3d41a43c33c99a8a,d9905c18fb654be391a4059597b873b22016d875f6d4efd19eb31f0d418515a2,d9905c18fb654be391a4059597b873b22016d875f6d4efd19eb31f0d418515a2,d9905c18fb654be391a4059597b873b22016d875f6d4efd19eb31f0d418515a2,d9905c18fb654be391a4059597b873b22016d875f6d4efd19eb31f0d418515a2,d9905c18fb654be391a4059597b873b22016d875f6d4efd19eb31f0d418515a2,d9905c18fb654be391a4059597b873b22016d875f6d4efd19eb31f0d418515a2,15168,True,True,0,0,379,0,False,"colab scope; stays in the repository, outside the installed package"
Align Morphologies/Alignment_IdentifySpines.py,colab,-,retain,origin,,Align Morphologies/Alignment_IdentifySpines.py,c34d47b1958ca76446ac16843dc1affcd0a842db637ada6eaf9d20e465181f63,00ea21aaec7084fc846d9558ac169e61e69481e15370a81216acf8985bc2e1d2,00ea21aaec7084fc846d9558ac169e61e69481e15370a81216acf8985bc2e1d2,c34d47b1958ca76446ac16843dc1affcd0a842db637ada6eaf9d20e465181f63,c34d47b1958ca76446ac16843dc1affcd0a842db637ada6eaf9d20e465181f63,c34d47b1958ca76446ac16843dc1affcd0a842db637ada6eaf9d20e465181f63,c34d47b1958ca76446ac16843dc1affcd0a842db637ada6eaf9d20e465181f63,c34d47b1958ca76446ac16843dc1affcd0a842db637ada6eaf9d20e465181f63,c34d47b1958ca76446ac16843dc1affcd0a842db637ada6eaf9d20e465181f63,18968,True,True,0,0,438,0,False,"colab scope; stays in the repository, outside the installed package"
Align Morphologies/README.md,colab,-,retain,origin,,Align Morphologies/README.md,6abfac74ce7359982a735cd5815bc8a930c1c9341406beda264e462f648fd4bb,6abfac74ce7359982a735cd5815bc8a930c1c9341406beda264e462f648fd4bb,6abfac74ce7359982a735cd5815bc8a930c1c9341406beda264e462f648fd4bb,6abfac74ce7359982a735cd5815bc8a930c1c9341406beda264e462f648fd4bb,6abfac74ce7359982a735cd5815bc8a930c1c9341406beda264e462f648fd4bb,6abfac74ce7359982a735cd5815bc8a930c1c9341406beda264e462f648fd4bb,6abfac74ce7359982a735cd5815bc8a930c1c9341406beda264e462f648fd4bb,6abfac74ce7359982a735cd5815bc8a930c1c9341406beda264e462f648fd4bb,6abfac74ce7359982a735cd5815bc8a930c1c9341406beda264e462f648fd4bb,3502,False,False,0,0,44,15,False,"colab scope; stays in the repository, outside the installed package"
Align Morphologies/Usage example.py,colab,-,retain,origin,,Align Morphologies/Usage example.py,2f310fe503632ff73e15969522fd2d1a7c35e39655420edccd10fa05afdfb620,2f310fe503632ff73e15969522fd2d1a7c35e39655420edccd10fa05afdfb620,2f310fe503632ff73e15969522fd2d1a7c35e39655420edccd10fa05afdfb620,2f310fe503632ff73e15969522fd2d1a7c35e39655420edccd10fa05afdfb620,2f310fe503632ff73e15969522fd2d1a7c35e39655420edccd10fa05afdfb620,2f310fe503632ff73e15969522fd2d1a7c35e39655420edccd10fa05afdfb620,2f310fe503632ff73e15969522fd2d1a7c35e39655420edccd10fa05afdfb620,2f310fe503632ff73e15969522fd2d1a7c35e39655420edccd10fa05afdfb620,2f310fe503632ff73e15969522fd2d1a7c35e39655420edccd10fa05afdfb620,2793,True,True,0,0,20,0,False,"colab scope; stays in the repository, outside the installed package"
Alignment Metadata/Extract_metadata.py,colab,-,retain,origin,,Alignment Metadata/Extract_metadata.py,fb3d762915213c39488c163f07064443877dd93d28f674ceb60dbddcc931162f,1a462fe0a7c1e7bf9f6e3cc909440d0f07c69bf982bd6520697026ee505c9a32,1a462fe0a7c1e7bf9f6e3cc909440d0f07c69bf982bd6520697026ee505c9a32,fb3d762915213c39488c163f07064443877dd93d28f674ceb60dbddcc931162f,fb3d762915213c39488c163f07064443877dd93d28f674ceb60dbddcc931162f,fb3d762915213c39488c163f07064443877dd93d28f674ceb60dbddcc931162f,fb3d762915213c39488c163f07064443877dd93d28f674ceb60dbddcc931162f,fb3d762915213c39488c163f07064443877dd93d28f674ceb60dbddcc931162f,fb3d762915213c39488c163f07064443877dd93d28f674ceb60dbddcc931162f,14544,True,True,0,0,390,0,False,"colab scope; stays in the repository, outside the installed package"
Alignment Metadata/README.md,colab,-,retain,origin,,Alignment Metadata/README.md,3a9ff3627f65a4663f4119cff0fe693acfae46c41d6834fbd423c83661e01ce1,3a9ff3627f65a4663f4119cff0fe693acfae46c41d6834fbd423c83661e01ce1,3a9ff3627f65a4663f4119cff0fe693acfae46c41d6834fbd423c83661e01ce1,3a9ff3627f65a4663f4119cff0fe693acfae46c41d6834fbd423c83661e01ce1,3a9ff3627f65a4663f4119cff0fe693acfae46c41d6834fbd423c83661e01ce1,3a9ff3627f65a4663f4119cff0fe693acfae46c41d6834fbd423c83661e01ce1,3a9ff3627f65a4663f4119cff0fe693acfae46c41d6834fbd423c83661e01ce1,3a9ff3627f65a4663f4119cff0fe693acfae46c41d6834fbd423c83661e01ce1,3a9ff3627f65a4663f4119cff0fe693acfae46c41d6834fbd423c83661e01ce1,3788,False,False,0,0,39,4,False,"colab scope; stays in the repository, outside the installed package"
Alignment Metadata/Usage.py,colab,-,retain,origin,,Alignment Metadata/Usage.py,78e624fddaf7fd9e23bd0ec2f8c49993cba10fccb90cb2babce853f2324bf74e,96d6e6a72c39fdfb343fa93c528603532e79481ec9aff2c00cd6a1d2e19f82d3,96d6e6a72c39fdfb343fa93c528603532e79481ec9aff2c00cd6a1d2e19f82d3,78e624fddaf7fd9e23bd0ec2f8c49993cba10fccb90cb2babce853f2324bf74e,78e624fddaf7fd9e23bd0ec2f8c49993cba10fccb90cb2babce853f2324bf74e,78e624fddaf7fd9e23bd0ec2f8c49993cba10fccb90cb2babce853f2324bf74e,78e624fddaf7fd9e23bd0ec2f8c49993cba10fccb90cb2babce853f2324bf74e,78e624fddaf7fd9e23bd0ec2f8c49993cba10fccb90cb2babce853f2324bf74e,78e624fddaf7fd9e23bd0ec2f8c49993cba10fccb90cb2babce853f2324bf74e,6557,True,True,0,0,15,0,False,"colab scope; stays in the repository, outside the installed package"
Connectomics/Calculate Relative Subpop pct/Usage_example.py,colab,-,retain,mechanical,T6,Connectomics/Calculate Relative Subpop % /Usage_example.py,36d8b2c28a45ec2baeebf3ec6c098d7886264619590a9cd0fdc9c97ad8a1287c,7f95739f273f501d7c9989f15035beb73d6098edc39d9a7a6bd45b64f9916737,7f95739f273f501d7c9989f15035beb73d6098edc39d9a7a6bd45b64f9916737,36d8b2c28a45ec2baeebf3ec6c098d7886264619590a9cd0fdc9c97ad8a1287c,36d8b2c28a45ec2baeebf3ec6c098d7886264619590a9cd0fdc9c97ad8a1287c,36d8b2c28a45ec2baeebf3ec6c098d7886264619590a9cd0fdc9c97ad8a1287c,36d8b2c28a45ec2baeebf3ec6c098d7886264619590a9cd0fdc9c97ad8a1287c,36d8b2c28a45ec2baeebf3ec6c098d7886264619590a9cd0fdc9c97ad8a1287c,36d8b2c28a45ec2baeebf3ec6c098d7886264619590a9cd0fdc9c97ad8a1287c,1205,True,True,0,0,30,0,False,"colab scope; stays in the repository, outside the installed package; moved by T6 (git mv), bytes unchanged"
Connectomics/Calculate Relative Subpop pct/calculate_bbp_relative_presences.py,colab,-,retain,mechanical,T6,Connectomics/Calculate Relative Subpop % /calculate_bbp_relative_presences.py,d10121eb3f7e3e20e9b01243fa45872f85e200d75f957f48d70b0a51581fbd2f,d10121eb3f7e3e20e9b01243fa45872f85e200d75f957f48d70b0a51581fbd2f,d10121eb3f7e3e20e9b01243fa45872f85e200d75f957f48d70b0a51581fbd2f,d10121eb3f7e3e20e9b01243fa45872f85e200d75f957f48d70b0a51581fbd2f,d10121eb3f7e3e20e9b01243fa45872f85e200d75f957f48d70b0a51581fbd2f,d10121eb3f7e3e20e9b01243fa45872f85e200d75f957f48d70b0a51581fbd2f,d10121eb3f7e3e20e9b01243fa45872f85e200d75f957f48d70b0a51581fbd2f,d10121eb3f7e3e20e9b01243fa45872f85e200d75f957f48d70b0a51581fbd2f,d10121eb3f7e3e20e9b01243fa45872f85e200d75f957f48d70b0a51581fbd2f,4576,True,True,0,0,117,0,False,"colab scope; stays in the repository, outside the installed package; moved by T6 (git mv), bytes unchanged"
